Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Danny Green\greenda02,25,80,2201,14.1,.600,.623,.119,2.0,10.3,6.4,9.5,2.1,1.8,11.9,16.6,,2.6,3.2,5.9,.128,,2.0,1.3,3.3,2.9
2,Tony Parker\parketo01,30,66,2174,23.0,.588,.068,.332,1.0,9.1,5.3,40.4,1.3,0.2,13.0,27.7,,7.1,2.3,9.3,.206,,4.1,-1.4,2.7,2.6
3,Tim Duncan\duncati01,36,69,2078,24.4,.554,.007,.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,,3.4,4.9,8.3,.191,,-0.5,4.6,4.1,3.2
4,Tiago Splitter\splitti01,28,81,1997,18.7,.609,.004,.506,8.8,20.3,14.9,10.0,1.6,2.3,12.7,18.2,,4.7,3.5,8.2,.197,,0.6,2.4,2.9,2.5
5,Kawhi Leonard\leonaka01,21,58,1810,16.4,.592,.331,.240,4.3,17.1,11.1,7.7,2.7,1.3,9.6,16.4,,3.0,3.3,6.2,.166,,1.4,2.5,3.9,2.7
6,Boris Diaw\diawbo01,30,75,1709,11.9,.603,.235,.196,4.7,12.0,8.6,15.0,1.6,1.1,18.9,12.0,,2.2,2.3,4.4,.124,,-0.1,1.9,1.8,1.6
7,Gary Neal\nealga01,28,68,1484,11.5,.512,.420,.124,1.1,9.6,5.6,13.5,1.0,0.1,9.9,21.7,,0.4,1.5,1.9,.060,,-0.8,-1.8,-2.6,-0.2
8,Manu Ginobili\ginobma01,35,60,1393,19.0,.560,.436,.382,2.6,13.4,8.3,30.6,2.9,0.7,17.3,25.2,,2.1,2.4,4.5,.155,,2.8,1.0,3.7,2.0
9,Stephen Jackson\jacksst02,34,55,1075,8.0,.473,.515,.212,2.5,13.5,8.3,10.7,1.8,0.9,17.6,18.7,,-1.2,1.5,0.3,.013,,-3.0,0.6,-2.4,-0.1
10,Nando De Colo\decolna01,25,72,920,11.1,.530,.340,.183,3.1,13.7,8.7,21.6,2.3,0.5,23.7,17.1,,0.0,1.4,1.3,.070,,-2.1,1.0,-1.0,0.2
11,Matt Bonner\bonnema01,32,68,909,11.8,.609,.522,.065,3.4,12.5,8.2,5.8,1.0,1.5,6.3,12.8,,1.4,1.1,2.5,.133,,0.4,0.0,0.5,0.6
12,DeJuan Blair\blairde01,23,61,851,14.6,.543,.004,.258,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,,0.7,1.5,2.2,.126,,-2.0,1.3,-0.8,0.3
13,Patrick Mills\millspa02,24,58,656,14.1,.590,.539,.079,1.7,6.8,4.4,14.9,2.0,0.4,13.5,20.2,,0.7,0.8,1.5,.109,,1.2,-1.6,-0.4,0.3
14,Cory Joseph\josepco01,21,28,388,13.5,.528,.191,.191,3.8,11.3,7.7,20.2,2.0,0.7,15.0,16.6,,0.4,0.5,0.9,.113,,-1.1,0.6,-0.5,0.1
15,Aron Baynes\baynear01,26,16,141,8.8,.521,.028,.333,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,,0.0,0.2,0.1,.050,,-4.7,0.4,-4.3,-0.1
16,James Anderson\anderja01,23,10,94,13.0,.587,.440,.360,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,,0.1,0.1,0.2,.109,,-1.0,0.3,-0.7,0.0
